"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-73.74","45.47","MONTREAL INTL A","7025251","2021-03-30","2021","03","30","","16.0","","-1.1","","7.5","","10.5","","0.0","","0.0","","0.0","","0.0","","","","16","","47",""
"-73.74","45.47","MONTREAL INTL A","7025251","2021-03-31","2021","03","31","","13.2","","3.3","","8.3","","9.7","","0.0","","3.8","","0.0","","3.8","","","","28","","37",""
"-73.74","45.47","MONTREAL INTL A","7025251","2021-04-01","2021","04","01","","3.8","","-4.8","","-0.5","","18.5","","0.0","","0.4","","0.4","","2.4","","0","T","28","","46",""
"-73.74","45.47","MONTREAL INTL A","7025251","2021-04-02","2021","04","02","","4.3","","-6.2","","-1.0","","19.0","","0.0","","0.0","","0.0","","0.0","","0","T","29","","43",""
"-73.74","45.47","MONTREAL INTL A","7025251","2021-04-03","2021","04","03","","9.0","","-4.5","","2.3","","15.7","","0.0","","0.0","","0.0","","0.0","","","","26","","40",""
"-73.74","45.47","MONTREAL INTL A","7025251","2021-04-04","2021","04","04","","13.4","","0.5","","7.0","","11.0","","0.0","","0.0","","0.0","","0.0","","","","31","","39",""
"-73.74","45.47","MONTREAL INTL A","7025251","2021-04-05","2021","04","05","","14.1","","2.7","","8.4","","9.6","","0.0","","0.0","","0.0","","0.0","","","","33","","41",""
"-73.74","45.47","MONTREAL INTL A","7025251","2021-04-06","2021","04","06","","14.9","","2.1","","8.5","","9.5","","0.0","","0.0","","0.0","","0.0","","","","","M","","M"
"-73.74","45.47","MONTREAL INTL A","7025251","2021-04-07","2021","04","07","","15.8","","4.7","","10.3","","7.7","","0.0","","0.0","","0.0","","0.0","","","","7","","38",""
"-73.74","45.47","MONTREAL INTL A","7025251","2021-04-08","2021","04","08","","21.1","","5.5","","13.3","","4.7","","0.0","","0.0","","0.0","","0.0","","","","4","","33",""
